date,open,close,volume,high,low
2015/07/17,129.08,129.62,45970470,129.62,128.31
2015/07/16,127.74,128.51,35987630,128.57,127.35
2015/07/15,125.72,126.82,33559770,127.15,125.58
2015/07/14,126.04,125.61,31695870,126.37,125.04
2015/07/13,125.03,125.66,41365600,125.755,124.32
2015/07/10,121.94,123.28,61292800,123.85,121.21
2015/07/09,123.85,120.07,78291510,124.06,119.22
2015/07/08,124.48,122.57,60609830,124.64,122.54
2015/07/07,125.89,125.69,46737090,126.15,123.77
2015/07/06,124.94,126,27972950,126.23,124.85
2015/07/02,126.43,126.44,27171180,126.69,125.77
2015/07/01,126.9,126.6,30206890,126.94,125.99
2015/06/30,125.57,125.425,44326050,126.12,124.86
2015/06/29,125.46,124.53,49043410,126.47,124.48
2015/06/26,127.67,126.75,43986290,127.99,126.51
2015/06/25,128.86,127.5,31872390,129.2,127.5
2015/06/24,127.21,128.11,55077520,129.8,127.12
2015/06/23,127.48,127.03,30192140,127.61,126.8792
2015/06/22,127.49,127.61,33976180,128.06,127.08
2015/06/19,127.71,126.6,54361530,127.82,126.4
2015/06/18,127.23,127.88,35363990,128.31,127.22
2015/06/17,127.72,127.3,32858900,127.88,126.74
2015/06/16,127.03,127.6,31443650,127.85,126.37
2015/06/15,126.1,126.92,43896960,127.24,125.71
2015/06/12,128.185,127.17,36826260,128.33,127.11
2015/06/11,129.18,128.59,35344520,130.18,128.475
2015/06/10,127.92,128.88,39029190,129.34,127.85
2015/06/09,126.7,127.42,56002840,128.08,125.62
2015/06/08,128.9,127.8,52609900,129.21,126.83
2015/06/05,129.5,128.65,35577760,129.69,128.36
2015/06/04,129.58,129.36,38335980,130.58,128.91
2015/06/03,130.66,130.12,30939810,130.94,129.9
2015/06/02,129.86,129.96,33595980,130.655,129.32
2015/06/01,131.2,130.535,32016020,131.39,130.05
2015/05/29,131.23,130.28,50474170,131.45,129.9
2015/05/28,131.86,131.78,30678840,131.95,131.1
2015/05/27,130.34,132.045,45771120,132.26,130.05
2015/05/26,132.6,129.62,70544670,132.91,129.12
2015/05/22,131.6,132.54,45469340,132.97,131.4
2015/05/21,130.07,131.39,39589780,131.63,129.83
2015/05/20,130,130.06,36261170,130.98,129.34
2015/05/19,130.69,130.07,44395440,130.88,129.64
2015/05/18,128.38,130.19,50723240,130.72,128.36
2015/05/15,129.07,128.77,38128470,129.49,128.21
2015/05/14,127.41,128.95,45123920,128.95,127.16
2015/05/13,126.15,126.01,34611600,127.19,125.87
2015/05/12,125.6,125.865,48073450,126.88,124.82
2015/05/11,127.39,126.32,41920740,127.56,125.625
2015/05/08,126.68,127.62,55473820,127.62,126.11
2015/05/07,124.77,125.26,42653920,126.08,124.02
2015/05/06,126.56,125.01,72037370,126.75,123.36
2015/05/05,128.15,125.8,49127770,128.4498,125.78
2015/05/04,129.5,128.7,50905020,130.57,128.26
2015/05/01,126.1,128.95,57349000,130.13,125.3
2015/04/30,127.5,125.15,82924980,127.88,124.58
2015/04/29,130.16,128.64,63063240,131.59,128.3
2015/04/28,134.455,130.56,118693700,134.54,129.57
2015/04/27,132.31,132.65,95084260,133.13,131.15
2015/04/24,130.49,130.28,44209710,130.63,129.23
2015/04/23,128.3,129.67,45596690,130.42,128.14
2015/04/22,126.99,128.62,37575420,128.87,126.32
2015/04/21,128.1,126.91,32341380,128.2,126.67
2015/04/20,125.57,127.6,46975110,128.12,125.17
2015/04/17,125.55,124.75,51481310,126.14,124.46
2015/04/16,126.28,126.17,28020240,127.1,126.11
2015/04/15,126.41,126.78,28922420,127.13,126.01
2015/04/14,127,126.3,25418280,127.29,125.91
2015/04/13,128.37,126.85,36248620,128.57,126.61
2015/04/10,125.95,127.1,40125760,127.21,125.26
2015/04/09,125.85,126.56,32244360,126.58,124.66
2015/04/08,125.85,125.6,37272090,126.4,124.97
2015/04/07,127.64,126.01,34894810,128.1218,125.98
2015/04/06,124.47,127.35,36917490,127.51,124.33
2015/04/02,125.03,125.32,32171410,125.56,124.19
2015/04/01,124.82,124.25,40463140,125.12,123.1
2015/03/31,126.09,124.43,42019420,126.49,124.355
2015/03/30,124.05,126.37,46974980,126.4,124
2015/03/27,124.57,123.25,39471720,124.7,122.91
2015/03/26,122.76,124.24,47409610,124.88,122.6
2015/03/25,126.54,123.38,51505600,126.82,123.38
2015/03/24,127.23,126.69,32747200,128.04,126.56
2015/03/23,127.12,127.21,37597600,127.85,126.52
2015/03/20,128.25,125.9,68516180,128.4,125.16
2015/03/19,128.75,127.495,45674520,129.2451,127.4
2015/03/18,127,128.47,65118170,129.16,126.37
2015/03/17,125.9,127.04,50891230,127.32,125.65
2015/03/16,123.88,124.95,35816300,124.95,122.87
2015/03/13,124.4,123.59,51744670,125.3951,122.58
2015/03/12,122.31,124.45,48233270,124.9,121.63
2015/03/11,124.75,122.24,68812690,124.77,122.11
2015/03/10,126.41,124.51,68720360,127.22,123.8
2015/03/09,127.96,127.14,88410240,129.57,125.06
2015/03/06,128.4,126.6,72699680,129.37,126.26
2015/03/05,128.58,126.41,56391280,128.75,125.76
2015/03/04,129.1,128.54,31588480,129.56,128.32
2015/03/03,128.96,129.36,37749900,129.52,128.09
2015/03/02,129.25,129.09,48042680,130.28,128.3
2015/02/27,130,128.46,61931350,130.57,128.24
2015/02/26,128.785,130.415,91171830,130.87,126.61
2015/02/25,131.56,128.79,74555120,131.6,128.15
2015/02/24,132.94,132.17,69109410,133.6,131.17
2015/02/23,130.02,133,73089250,133,129.66
2015/02/20,128.62,129.495,48878410,129.5,128.05
2015/02/19,128.48,128.45,37295460,129.03,128.33
2015/02/18,127.625,128.715,44695980,128.78,127.45
2015/02/17,127.49,127.83,63014110,128.88,126.92
2015/02/13,127.28,127.08,53955650,127.28,125.65
2015/02/12,126.06,126.46,74374630,127.48,125.57
2015/02/11,122.77,124.88,73278020,124.92,122.5
2015/02/10,120.17,122.02,61845390,122.15,120.16
2015/02/09,118.55,119.72,37900780,119.84,118.43
2015/02/06,120.02,118.93,43633660,120.25,118.45
2015/02/05,120.02,119.94,42197110,120.23,119.25
2015/02/04,118.5,119.56,69975180,120.51,118.309
2015/02/03,118.5,118.65,51842080,119.09,117.61
2015/02/02,118.05,118.63,62542440,119.17,116.08
2015/01/30,118.4,117.16,83646800,120,116.85
2015/01/29,116.32,118.9,84132130,119.19,115.56
2015/01/28,117.625,115.31,146184300,118.12,115.31
2015/01/27,112.42,109.14,92326640,112.48,109.03
2015/01/26,113.74,113.1,55457420,114.3626,112.8
2015/01/23,112.3,112.98,46420020,113.75,111.53
2015/01/22,110.26,112.4,53717440,112.47,109.72
2015/01/21,108.95,109.55,48482860,111.06,108.27
2015/01/20,107.84,108.72,49742320,108.9667,106.5
2015/01/16,107.03,105.99,78453330,107.58,105.2
2015/01/15,110,106.82,59808470,110.06,106.66
2015/01/14,109.04,109.8,48728190,110.49,108.5
2015/01/13,111.43,110.22,66969980,112.8,108.91
2015/01/12,112.6,109.25,49571170,112.63,108.8
2015/01/09,112.67,112.01,53645730,113.25,110.21
2015/01/08,109.23,111.89,59168760,112.15,108.7
2015/01/07,107.2,107.75,39983350,108.2,106.695
2015/01/06,106.54,106.26,65682250,107.43,104.63
2015/01/05,108.29,106.25,64210880,108.65,105.41
2015/01/02,111.39,109.33,53143770,111.44,107.35
2014/12/31,112.82,110.38,41304780,113.13,110.21
2014/12/30,113.64,112.52,29798660,113.92,112.11
2014/12/29,113.79,113.91,27533430,114.77,113.7
2014/12/26,112.1,113.99,33681200,114.52,112.01
2014/12/24,112.58,112.01,14479610,112.71,112.01
2014/12/23,113.23,112.54,25991030,113.33,112.46
2014/12/22,112.16,112.94,45097060,113.49,111.97
